transaction_id,purchase_ts,client_id_canonical,session_id,revenue,user_email,items_json,first_click_session_id,last_click_session_id,first_click_channel,last_click_channel,last_non_direct_session_id,last_non_direct_channel
ORD-20250308-435,2025-03-08 03:47:16.745000+00:00,1739118999-f2iFqbh8JCVu,1739118999-f2iFqbh8JCVu:2:20250308T032231,2648.0,589e8036ac0d9cfa9a94e4b434af222cf32da835a2a8e160b9ebe501d46e42b5,"[{""item_id"": ""14TXL-PUFFHB-24"", ""item_name"": ""Puffy Royal Mattress"", ""item_price"": null, ""item_variant"": ""Twin XL  -  (38\""W x 80\""L x 14\""H) / Hybrid"", ""quantity"": 2}]",1739118999-f2iFqbh8JCVu:1:20250306T134920,1739118999-f2iFqbh8JCVu:2:20250308T032231,direct,unknown_paid,1739118999-f2iFqbh8JCVu:2:20250308T032231,unknown_paid
ORD-20250226-142,2025-02-26 07:25:37.872000+00:00,1739169598-7sjOuU60Y6Eo,1739169598-7sjOuU60Y6Eo:3:20250226T072238,1427.0,773734207e2c219c906e046abbec52a2584173e081fddff97f1b063b06230e59,"[{""item_id"": ""CK-DMF-GRY-01"", ""item_name"": ""Puffy Dusk Bed Frame"", ""item_price"": 428, ""item_variant"": ""Cal King  -  (72\""W x 84\""L x 14.5\""H)"", ""quantity"": 1}, {""item_id"": ""10CK-PUFF-24"", ""item_name"": ""Puffy Cloud Mattress"", ""item_price"": 999, ""item_variant"": ""Cal King  -  (72\""W x 84\""L x 10\""H)"", ""quantity"": 1}]",1739169598-7sjOuU60Y6Eo:1:20250226T040616,1739169598-7sjOuU60Y6Eo:3:20250226T072238,direct,direct,,
ORD-20250227-389,2025-02-27 20:31:33.839000+00:00,1739320691-_qd89fFOwigp,1739320691-_qd89fFOwigp:1:20250227T200324,649.0,d6625091c6a9e7b696ce10d52181753c46b94d80882fbd03b15e2e98413cd760,"[{""item_id"": ""12T-PUFFHB-24"", ""item_name"": ""Puffy Lux Mattress"", ""item_price"": 649, ""item_variant"": ""Hybrid / Twin  -  (38\""W x 75\""L x 12\""H)"", ""quantity"": 1}]",1739320691-_qd89fFOwigp:1:20250227T200324,1739320691-_qd89fFOwigp:1:20250227T200324,direct,direct,,
ORD-20250226-158,2025-02-26 18:05:45.915000+00:00,1739571234-3McSv47Fx1Qm,1739571234-3McSv47Fx1Qm:2:20250226T175939,649.0,7d85988481d5ca5fc42e44b7e95e7abb0de2595558af1bec80755988a7c518a2,"[{""item_id"": ""12T-PUFFHB-24"", ""item_name"": ""Puffy Lux Mattress"", ""item_price"": 649, ""item_variant"": ""Hybrid / Twin  -  (38\""W x 75\""L x 12\""H)"", ""quantity"": 1}]",1739571234-3McSv47Fx1Qm:1:20250225T120952,1739571234-3McSv47Fx1Qm:2:20250226T175939,paid_search,paid_search,1739571234-3McSv47Fx1Qm:2:20250226T175939,paid_search
ORD-20250225-960,2025-02-25 02:38:54.286000+00:00,1739632959-3UuM3WM5LiF_,1739632959-3UuM3WM5LiF_:2:20250225T023854,799.0,26e4fa141c6c47dda50d5fb0a01dd551a09f5b81f30933c754c91811f3665061,"[{""item_id"": ""12TXL-PUFFHB-24"", ""item_name"": ""Puffy Lux Mattress"", ""item_price"": 799, ""item_variant"": ""Hybrid / Twin XL  -  (38\""W x 80\""L x 12\""H)"", ""quantity"": 1}]",1739632959-3UuM3WM5LiF_:1:20250224T211507,1739632959-3UuM3WM5LiF_:2:20250225T023854,direct,direct,,
ORD-20250303-193,2025-03-03 13:45:40.870000+00:00,1739654536-l0pMsprdf4K1,1739654536-l0pMsprdf4K1:1:20250303T134540,799.0,259030e0a6c68c954d9e88c4191bc6d7dd804887cedf5bed8ddb45784691ccc5,"[{""item_id"": ""10Q-PUFF-24"", ""item_name"": ""Puffy Cloud Mattress"", ""item_price"": 799, ""item_variant"": ""Queen  -  (60\""W x 80\""L x 10\""H)"", ""quantity"": 1}]",1739654536-l0pMsprdf4K1:1:20250303T134540,1739654536-l0pMsprdf4K1:1:20250303T134540,direct,direct,,
ORD-20250228-326,2025-02-28 21:34:49.604000+00:00,1739661401-YhLQ3Wpa_2yc,1739661401-YhLQ3Wpa_2yc:1:20250228T213449,649.0,ebef1a8e547210e525c1780f0df0951912f15821d5a45dd431541e11391f4c6e,"[{""item_id"": ""12T-PUFFHB-24"", ""item_name"": ""Puffy Lux Mattress"", ""item_price"": 649, ""item_variant"": ""Hybrid / Twin  -  (38\""W x 75\""L x 12\""H)"", ""quantity"": 1}]",1739661401-YhLQ3Wpa_2yc:1:20250228T213449,1739661401-YhLQ3Wpa_2yc:1:20250228T213449,direct,direct,,
ORD-20250308-389,2025-03-08 23:16:08.807000+00:00,1739721571-5zHR-SPEGkZr,1739721571-5zHR-SPEGkZr:4:20250308T231050,349.0,ebcd5ef83c3a82ec6292bfc968cdcbbd95d7c09ad0624fe6dbafaf8d4306a1b8,"[{""item_id"": ""10T-PUFF-24"", ""item_name"": ""Puffy Cloud Mattress"", ""item_price"": null, ""item_variant"": ""Twin  -  (38\""W x 75\""L x 10\""H)"", ""quantity"": 1}]",1739721571-5zHR-SPEGkZr:3:20250308T220132,1739721571-5zHR-SPEGkZr:4:20250308T231050,paid_search,direct,1739721571-5zHR-SPEGkZr:3:20250308T220132,paid_search
ORD-20250226-354,2025-02-26 23:59:48.039000+00:00,1739722963-bM9HXRvhLpzE,1739722963-bM9HXRvhLpzE:1:20250226T235610,262.0,e9cab63d10415664fdc257385276102a4e15248430d2018cf1a9ea5f26b07056,"[{""item_id"": ""K-TOPPR-S-3"", ""item_name"": ""Puffy Deluxe Mattress Topper"", ""item_price"": 262, ""item_variant"": ""Soft / King  -  (76\""W x 80\""L x 2.5\""H)"", ""quantity"": 1}]",1739722963-bM9HXRvhLpzE:1:20250226T235610,1739722963-bM9HXRvhLpzE:1:20250226T235610,unknown_paid,unknown_paid,1739722963-bM9HXRvhLpzE:1:20250226T235610,unknown_paid
ORD-20250301-223,2025-03-01 15:30:26.676000+00:00,1739840232-Qa5gyk_Kwh5w,1739840232-Qa5gyk_Kwh5w:2:20250301T150607,2449.0,eb8ab9dd92167e68ae49b2e52858b5b0eaf2c8000404d04a70de326fa3bf0f33,"[{""item_id"": ""14K-PUFFHB-24"", ""item_name"": ""Puffy Royal Mattress"", ""item_price"": 2449, ""item_variant"": ""King  -  (76\""W x 80\""L x 14\""H) / Hybrid"", ""quantity"": 1}]",1739840232-Qa5gyk_Kwh5w:1:20250228T010856,1739840232-Qa5gyk_Kwh5w:2:20250301T150607,paid_search,unknown_paid,1739840232-Qa5gyk_Kwh5w:2:20250301T150607,unknown_paid
